レッド	reddo
オモダカ	omodaka
ネモ	nemo
リラ	rira
アザミ	azami
ウコン	ukon
コゴミ	kogomi
ヒース	hīsu
ダツラ	datsura
ジンダイ	jindai
クロツグ	kurotsugu
ネジキ	nejiki
ケイト	keito
コクラン	kokuran
ダリア	daria
ノボリ	nobori
クダリ	kudari
バンジロウ	banjirō
ラジュルネ	rajurune
ラニュイ	ranyui
ルスワール	rusuwāru
ルミタン	rumi tan
サカキ	sakaki
ロケットだんかんぶ	rokettoda n ka n bu
アポロ	aporo
アテナ	atena
ラムダ	ramuda
ランス	ransu
ロケットだんのしたっぱ	rokettoda n no shitappa
マツブサ	matsubusa
マグマだんかんぶ	magumada n ka n bu
ホムラ	homura
カガリ	kagari
マグマだんのしたっぱ	magumada n no shitappa
アオギリ	aogiri
アクアだんかんぶ	da n ka n bu
ウシオ	ushio
イズミ	izumi
アクアだんのしたっぱ	da n no shitappa
アカギ	akagi
ギンガだんかんぶ	da n ka n bu
マーズ	māzu
ジュピター	jupitā
サターン	satān
プルート	purūto
ギンガだんのしたっぱ	da n no shitappa
N	N
アクロマ	akuroma
七賢人	nana kenjin
ゲーチス	gēchisu
ロット	rotto
アスラ	asura
ヴィオ	vio
スムラ	sumura
リョクシ	ryokushi
ジャロ	ja ro
ダークトリニティ	dākutoriniti
プラズマだんのしたっぱ	purazumada n no shitappa
フラダリ	fura dari
アケビ	akebi
コレア	korea
バラ	bara
モミジ	momiji
クセロシキ	kuseroshiki
フレアだんのしたっぱ	fureada n no shitappa
フレアだんのかんぶ	fureada n no kan bu
グズマ	guzuma
プルメリ	purumeri
スカルだんのしたっぱ	sukaruda n no shitappa
ルザミーネ	ruzamīne
ザオボー	zaobō
ビッケ	bikke
エーテルざいだんのしょくいん	ēteru zaidannoshokuin
ダルス	darusu
アマモ	amamo
ミリン	mirin
シオニラ	shionira
ローズ	rōzu
オリーヴ	orīvu
メロコ	meroko
ピーニャ	pīnya
シュウメイ	shūmei
オルティガ	orutiga
ビワ	biwa
ガンテツ	gan tetsu
ちょうろう	chōrō
ツワブキ	tsuwabuki
クスノキ	kusunoki
ツガ	tsuga
ハギろうじん	hagi rō jin
カゼノ	kaze no
モナミ	monami
エニシダ	enishida
ウラヤマ	ura yama
ナミキ	namiki
バオバ	baoba
コブシ	kobushi
モーン	mōn
ネア	nea
マサキ	masaki
マユミ	mayumi
アズサ	azusa
ニシキ	nishiki
ミズキ	mizuki
ユカリ	yukari
ショウロ	shōro
クロケア	kuro kea
マーレイン	mārein
クラベル	kura beru
ジニア	jinia
キハダ	kihada
サワロ	sawa ro
タイム	taimu
セイジ	seiji
レホール	re hōru
ハッサク	hassaku
ミモザ	mimoza
シアノ	shiano
ブライア	buraia
ハンサム	hansamu
リラ	rira
ナナミ	nana mi
アキホ	akiho
ジョバンニ	jobanni
クルミ	kurumi
アオイ	aoi
オクル	okuru
チエ	chie
曜日兄弟	yōbi kyōdai
ゲンゾー	genzō
キリ	kiri
ギリー	girī
ルチア	ruchia
アヤコ	ayako
ハマナ	hamana
スージー	sūjī
フミコ	fumiko
マイスター	mai sutā
サキ	saki
パンジー	panjī
ユリーカ	yurīka
マチエール	machiēru
コンコンブル	konkon buru
ダンペイ	dan pei
ハイド	haido
チホコ	chihoko
ヘザー	hezā
イヌガヤ	inugaya
ビリオ	birio
おかあさん	okāsan
ポケモン大好きクラブ会長	pokemon daisuki kurabu kaichō
せいめいはんだんし	sei mei handa nshi
わざおしえ人	waza oshiejin
わざおしえマニア	waza oshie mania
わすれオヤジ	wasure oyaji
キズナおやじ	kizuna oyaji
モノマネむすめ	monomane musu me
ポケモンじいさん	pokemon jīsan
おみとおしばあさん	o mitōshi bāsan
しゃしんオヤジ	shashin oyaji
トレジャーハンター	torejāhantā
ケンコーばあさん	kenkō bāsan
でし	deshi
かせきマニア	kaseki mania
きのみめいじん	ki nomi meijin
ブレンドめいじん	burendo meijin
カチヌキファミリー	kachinukifamirī
カラクリだいおう	karakurida iō
おんせんばあさん	on sen bāsan
ミスター・グッズ	misutā guzzu
ちかおじさん	chika ojisan
ちかこうかんオヤジ	chika kōkan oyaji
カメラおやじ	kamera oyaji
ボールガイ	bōrugai
デンボク	denboku
シマボシ	shimaboshi
ラベン博士	raben hakase
テル	teru
ショウ	shō
キネ	kine
ペリーラ	perī ra
シュウゾウ	shūzō
デンスケ	densuke
サザンカ	sazanka
ナバナ	nabana
ハク	haku
タオファ	tao fa
ムベ	mube
タイサイ	tai sai
シャロン	sharon
テッカン	tekkan
ゲンゾウ	gen zō
オハギ	ohagi
ユラ	yura
セキ	seki
ヨネ	yone
ヒナツ	hinatsu
ススキ	susuki
ツバキ	tsubaki
ワサビ	wasabi
カイ	kai
キクイ	kikui
ユウガオ	yūgao
ガラナ	garana
ハマレンゲ	hama renge
ギンナン	ginnan
ウォロ	woro
オマツ	omatsu
オタケ	otake
オウメ	ōme
コギト	kogito













































































































































































































































































































































































































































