フシギダネ	Fushigidane
ハガネール	Haganeil
ブルー	Bulu
グランブル	Granbulu
ハリーセン	Harysen
ハッサム	Hassam
ツボツボ	Tsubotsubo
ヘラクロス	Heracros
ニューラ	Nyula
ヒメグマ	Himeguma
リングマ	Ringuma
マグマッグ	Magmag
マグカルゴ	Magcargot
ウリムー	Urimoo
イノムー	Inomoo
サニーゴ	Sunnygo
テッポウオ	Teppouo
オクタン	Okutank
デリバード	Delibird
マンタイン	Mantain
エアームド	Airmd
デルビル	Delvil
ヘルガー	Hellgar
キングドラ	Kingdra
ゴマゾウ	Gomazou
ドンファン	Donfan
ポリゴン２	Porygon2
オドシシ	Odoshishi
ドーブル	Doble
バルキー	Balkie
カポエラー	Kapoerer
ムチュール	Muchul
エレキッド	Elekid
ブビィ	Buby
ミルタンク	Miltank
ハピナス	Happinas
ライコウ	Raikou
エンテイ	Entei
スイクン	Suicune
ヨーギラス	Yogiras
サナギラス	Sanagiras
バンギラス	Bangiras
ルギア	Lugia
ホウオウ	Houou
セレビィ	Celebi
キモリ	Kimori
ジュプトル	Juptile
ジュカイン	Jukain
アチャモ	Achamo
ワカシャモ	Wakasyamo
バシャーモ	Bursyamo
ミズゴロウ	Mizugorou
ヌマクロー	Numacraw
ラグラージ	Laglarge
ポチエナ	Pochiena
グラエナ	Graena
ジグザグマ	Jiguzaguma
マッスグマ	Massuguma
ケムッソ	Kemusso
カラサリス	Karasalis
アゲハント	Agehunt
マユルド	Mayuld
ドクケイル	Dokucale
ハスボー	Hassboh
ハスブレロ	Hasubrero
ルンパッパ	Runpappa
タネボー	Taneboh
コノハナ	Konohana
ダーテング	Dirteng
スバメ	Subame
オオスバメ	Ohsubame
キャモメ	Camome
ペリッパー	Pelipper
ラルトス	Ralts
キルリア	Kirlia
サーナイト	Sirnight
アメタマ	Ametama
アメモース	Amemoth
キノココ	Kinococo
キノガッサ	Kinogassa
ナマケロ	Namakero
ヤルキモノ	Yarukimono
ケッキング	Kekking
ツチニン	Tutinin
テッカニン	Tekkanin
ヌケニン	Nukenin
ゴニョニョ	Gonyonyo
ドゴーム	Dogohmb
バクオング	Bakuong
マクノシタ	Makunoshita
ハリテヤマ	Hariteyama
ルリリ	Ruriri
ノズパス	Nosepass
エネコ	Eneco
エネコロロ	Enekororo
ヤミラミ	Yamirami
クチート	Kucheat
ココドラ	Cokodora
コドラ	Kodora
ボスゴドラ	Bossgodora
アサナン	Asanan
チャーレム	Charem
ラクライ	Rakurai
ライボルト	Livolt
プラスル	Prasle
マイナン	Minun
バルビート	Barubeat
イルミーゼ	Illumise
ロゼリア	Roselia
ゴクリン	Gokulin
マルノーム	Marunoom
キバニア	Kibanha
サメハダー	Samehader
ホエルコ	Hoeruko
ホエルオー	Whaloh
ドンメル	Donmel
バクーダ	Bakuuda
コータス	Cotoise
バネブー	Baneboo
ブーピッグ	Boopig
パッチール	Patcheel
ナックラー	Nuckrar
ビブラーバ	Vibrava
フライゴン	Flygon
サボネア	Sabonea
ノクタス	Noctus
チルット	Tyltto
チルタリス	Tyltalis
ザングース	Zangoose
ハブネーク	Habunake
ルナトーン	Lunatone
ソルロック	Solrock
ドジョッチ	Dojoach
ナマズン	Namazun
ヘイガニ	Heigani
シザリガー	Shizariger
ヤジロン	Yajilon
ネンドール	Nendoll
リリーラ	Lilyla
ユレイドル	Yuradle
アノプス	Anopth
アーマルド	Armaldo
ヒンバス	Hinbass
ミロカロス	Milokaross
ポワルン	Powalen
カクレオン	Kakureon
カゲボウズ	Kagebouzu
ジュペッタ	Juppeta
ヨマワル	Yomawaru
サマヨール	Samayouru
トロピウス	Tropius
チリーン	Chirean
アブソル	Absol
ソーナノ	Sohnano
ユキワラシ	Yukiwarashi
オニゴーリ	Onigohri
タマザラシ	Tamazarashi
トドグラー	Todoggler
トドゼルガ	Todoseruga
パールル	Pearlulu
ハンテール	Huntail
サクラビス	Sakurabyss
ジーランス	Glanth
ラブカス	Lovecus
タツベイ	Tatsubay
コモルー	Komoruu
ボーマンダ	Bohmander
ダンバル	Dumbber
メタング	Metang
メタグロス	Metagross
レジロック	Regirock
レジアイス	Regice
レジスチル	Registeel
ラティアス	Latias
ラティオス	Latios
カイオーガ	Kyogre
グラードン	Groudon
レックウザ	Rayquaza
ジラーチ	Jirachi
デオキシス	Deoxys
ナエトル	Naetle
ハヤシガメ	Hayashigame
ドダイトス	Dodaitose
ヒコザル	Hikozaru
モウカザル	Moukazaru
ゴウカザル	Goukazaru
ポッチャマ	Pochama
ポッタイシ	Pottaishi
エンペルト	Emperte
ムックル	Mukkuru
ムクバード	Mukubird
ムクホーク	Mukuhawk
ビッパ	Bippa
ビーダル	Beadaru
コロボーシ	Korobohshi
コロトック	Korotock
コリンク	Kolink
ルクシオ	Luxio
レントラー	Rentorar
スボミー	Subomie
ロズレイド	Roserade
ズガイドス	Zugaidos
ラムパルド	Rampald
タテトプス	Tatetops
トリデプス	Torideps
ミノムッチ	Minomucchi
ミノマダム	Minomadam
ガーメイル	Gamale
ミツハニー	Mitsuhoney
ビークイン	Beequen
パチリス	Pachirisu
ブイゼル	Buoysel
フローゼル	Floazel
チェリンボ	Cherinbo
チェリム	Cherrim
カラナクシ	Karanakushi
トリトドン	Tritodon
エテボース	Eteboth
フワンテ	Fuwante
フワライド	Fuwaride
ミミロル	Mimirol
ミミロップ	Mimilop
ムウマージ	Mumargi
ドンカラス	Dongkarasu
ニャルマー	Nyarmar
ブニャット	Bunyatto
リーシャン	Lisyan
スカンプー	Skunpuu
スカタンク	Skutank
ドーミラー	Dohmirror
ドータクン	Dohtakun
ウソハチ	Usohachi
マネネ	Manene
ピンプク	Pinpuku
ペラップ	Perap
ミカルゲ	Mikaruge
フカマル	Fukamaru
ガバイト	Gabite
ガブリアス	Gaburias
ゴンベ	Gonbe
リオル	Riolu
ルカリオ	Lucario
ヒポポタス	Hippopotas
カバルドン	Kabaldon
スコルピ	Scorupi
ドラピオン	Dorapion
グレッグル	Gureggru
ドクロッグ	Dokurog
マスキッパ	Muskippa
ケイコウオ	Keikouo
ネオラント	Neolant
タマンタ	Tamanta
ユキカブリ	Yukikaburi
ユキノオー	Yukinooh
マニューラ	Manyula
ジバコイル	Jibacoil
ベロベルト	Berobelt
ドサイドン	Dosidon
モジャンボ	Mojumbo
エレキブル	Elekible
ブーバーン	Booburn
トゲキッス	Togekiss
メガヤンマ	Megayanma
リーフィア	Leafia
グレイシア	Glacia
グライオン	Glion
マンムー	Mammoo
ポリゴンＺ	Porygon-Z
エルレイド	Erureido
ダイノーズ	Dainose
ヨノワール	Yonoir
ユキメノコ	Yukimenoko
ロトム	Rotom
ユクシー	Yuxie
エムリット	Emrit
アグノム	Agnome
ディアルガ	Dialga
パルキア	Palkia
ヒードラン	Heatran
レジギガス	Regigigas
ギラティナ	Giratina
クレセリア	Cresselia
フィオネ	Phione
マナフィ	Manaphy
ダークライ	Darkrai
シェイミ	Shaymin
アルセウス	Arceus
ビクティニ	Victini
ツタージャ	Tsutarja
ジャノビー	Janovy
ジャローダ	Jalorda
ポカブ	Pokabu
チャオブー	Chaoboo
エンブオー	Enbuoh
ミジュマル	Mijumaru
フタチマル	Futachimaru
ダイケンキ	Daikenki
ミネズミ	Minezumi
ミルホッグ	Miruhog
ヨーテリー	Yorterrie
ハーデリア	Herderrie
ムーランド	Mooland
チョロネコ	Choroneko
レパルダス	Lepardas
ヤナップ	Yanappu
ヤナッキー	Yanakkie
バオップ	Baoppu
バオッキー	Baokkie
ヒヤップ	Hiyappu
ヒヤッキー	Hiyakkie
ムンナ	Munna
ムシャーナ	Musharna
マメパト	Mamepato
ハトーボー	Hatoboh
ケンホロウ	Kenhallow
シママ	Shimama
ゼブライカ	Zebraika
ダンゴロ	Dangoro
ガントル	Gantle
ギガイアス	Gigaiath
コロモリ	Koromori
ココロモリ	Kokoromori
モグリュー	Mogurew
ドリュウズ	Doryuzu
タブンネ	Tabunne
ドッコラー	Dokkorer
ドテッコツ	Dotekkotsu
ローブシン	Roubushin
オタマロ	Otamaro
ガマガル	Gamagaru
ガマゲロゲ	Gamageroge
ナゲキ	Nageki
ダゲキ	Dageki
クルミル	Kurumiru
クルマユ	Kurumayu
ハハコモリ	Hahakomori
フシデ	Fushide
ホイーガ	Wheega
ペンドラー	Pendror
モンメン	Monmen
エルフーン	Elfuun
チュリネ	Churine
ドレディア	Dredear
バスラオ	Bassrao
メグロコ	Meguroco
ワルビル	Waruvile
ワルビアル	Waruvial
ダルマッカ	Darumakka
ヒヒダルマ	Hihidaruma
マラカッチ	Maracacchi
イシズマイ	Ishizumai
イワパレス	Iwapalace
ズルッグ	Zuruggu
ズルズキン	Zuruzukin
シンボラー	Symboler
デスマス	Desumasu
デスカーン	Desukarn
プロトーガ	Protoga
アバゴーラ	Abagoura
アーケン	Archen
アーケオス	Archeos
ヤブクロン	Yabukuron
ダストダス	Dustdas
ゾロア	Zorua
ゾロアーク	Zoroark
チラーミィ	Chillarmy
チラチーノ	Chillaccino
ゴチム	Gothimu
ゴチミル	Gothimiru
ゴチルゼル	Gothiruselle
ユニラン	Uniran
ダブラン	Doublan
ランクルス	Lanculus
コアルヒー	Koaruhie
スワンナ	Swanna
バニプッチ	Vanipeti
バニリッチ	Vanirich
バイバニラ	Baivanilla
シキジカ	Shikijika
メブキジカ	Mebukijika
エモンガ	Emonga
カブルモ	Kaburumo
シュバルゴ	Chevargo
タマゲタケ	Tamagetake
モロバレル	Morobareru
プルリル	Pururill
ブルンゲル	Burungel
ママンボウ	Mamanbou
バチュル	Bachuru
デンチュラ	Dentula
テッシード	Tesseed
ナットレイ	Nutrey
ギアル	Giaru
ギギアル	Gigiaru
ギギギアル	Gigigiaru
シビシラス	Shibishirasu
シビビール	Shibibeel
シビルドン	Shibirudon
リグレー	Ligray
オーベム	Ohbem
ヒトモシ	Hitomoshi
ランプラー	Lampler
シャンデラ	Chandela
キバゴ	Kibago
オノンド	Onondo
オノノクス	Ononokus
クマシュン	Kumasyun
ツンベアー	Tunbear
フリージオ	Freegeo
チョボマキ	Chobomaki
アギルダー	Agilder
マッギョ	Maggyo
コジョフー	Kojofu
コジョンド	Kojondo
クリムガン	Crimgan
ゴビット	Gobit
ゴルーグ	Goloog
コマタナ	Komatana
キリキザン	Kirikizan
バッフロン	Buffron
ワシボン	Washibon
ウォーグル	Warrgle
バルチャイ	Valchai
バルジーナ	Vulgina
クイタラン	Kuitaran
アイアント	Aiant
モノズ	Monozu
ジヘッド	Dihead
サザンドラ	Sazandora
メラルバ	Merlarva
ウルガモス	Ulgamoth
コバルオン	Cobalon
テラキオン	Terrakion
ビリジオン	Virizion
トルネロス	Tornelos
ボルトロス	Voltolos
レシラム	Reshiram
ゼクロム	Zekrom
ランドロス	Landlos
キュレム	Kyurem
ケルディオ	Keldeo
メロエッタ	Meloetta
ゲノセクト	Genesect
ハリマロン	Harimaron
ハリボーグ	Hariborg
ブリガロン	Brigarron
フォッコ	Fokko
テールナー	Tairenar
マフォクシー	Mahoxy
ケロマツ	Keromatsu
ゲコガシラ	Gekogashira
ゲッコウガ	Gekkouga
ホルビー	Horubee
ホルード	Horudo
ヤヤコマ	Yayakoma
ヒノヤコマ	Hinoyakoma
ファイアロー	Fiarrow
コフキムシ	Kofukimushi
コフーライ	Kofuurai
ビビヨン	Viviyon
シシコ	Shishiko
カエンジシ	Kaenjishi
フラベベ	Flabebe
フラエッテ	Floette
フラージェス	Florges
メェークル	Meecle
ゴーゴート	Gogoat
ヤンチャム	Yancham
ゴロンダ	Goronda
トリミアン	Trimmien
ニャスパー	Nyasper
ニャオニクス	Nyaonix
ヒトツキ	Hitotsuki
ニダンギル	Nidangill
ギルガルド	Gillgard
シュシュプ	Shushupu
フレフワン	Frefuwan
ペロッパフ	Peroppafu
ペロリーム	Peroream
マーイーカ	Maaiika
カラマネロ	Calamanero
カメテテ	Kametete
ガメノデス	Gamenodes
クズモー	Kuzumo
ドラミドロ	Dramidoro
ウデッポウ	Udeppou
ブロスター	Bloster
エリキテル	Erikiteru
エレザード	Elezard
チゴラス	Chigoras
ガチゴラス	Gachigoras
アマルス	Amarus
アマルルガ	Amaruruga
ニンフィア	Nymphia
ルチャブル	Luchabull
デデンネ	Dedenne
メレシー	Melecie
ヌメラ	Numera
ヌメイル	Numeil
ヌメルゴン	Numelgon
クレッフィ	Cleffy
ボクレー	Bokurei
オーロット	Ohrot
バケッチャ	Bakeccha
パンプジン	Pumpjin
カチコール	Kachikohru
クレベース	Crebase
オンバット	Onbat
オンバーン	Onvern
ゼルネアス	Xerneas
イベルタル	Yveltal
ジガルデ	Zygarde
ディアンシー	Diancie
フーパ	Hoopa
ボルケニオン	Volcanion
モクロー	Mokuroh
フクスロー	Fukuthrow
ジュナイパー	Junaiper
ニャビー	Nyabby
ニャヒート	Nyaheat
ガオガエン	Gaogaen
アシマリ	Ashimari
オシャマリ	Osyamari
アシレーヌ	Ashirene
ツツケラ	Tsutsukera
ケララッパ	Kerarappa
ドデカバシ	Dodekabashi
ヤングース	Youngoose
デカグース	Dekagoose
アゴジムシ	Agojimushi
デンヂムシ	Dendimushi
クワガノン	Kuwagannon
マケンカニ	Makenkani
ケケンカニ	Kekenkani
オドリドリ	Odoridori
アブリー	Abuly
アブリボン	Aburibbon
イワンコ	Iwanko
ルガルガン	Lugarugan
ヨワシ	Yowashi
ヒドイデ	Hidoide
ドヒドイデ	Dohidoide
ドロバンコ	Dorobanko
バンバドロ	Banbadoro
シズクモ	Shizukumo
オニシズクモ	Onishizukumo
カリキリ	Karikiri
ラランテス	Lalantes
ネマシュ	Nemasyu
マシェード	Mashade
ヤトウモリ	Yatoumori
エンニュート	Ennewt
ヌイコグマ	Nuikoguma
キテルグマ	Kiteruguma
アマカジ	Amakaji
アママイコ	Amamaiko
アマージョ	Amajo
キュワワー	Cuwawa
ヤレユータン	Yareyuutan
ナゲツケサル	Nagetukesaru
コソクムシ	Kosokumushi
グソクムシャ	Gusokumusha
スナバァ	Sunaba
シロデスナ	Sirodethna
ナマコブシ	Namakobushi
タイプ：ヌル	Type:Null
シルヴァディ	Silvady
メテノ	Meteno
ネッコアラ	Nekkoara
バクガメス	Bakugames
トゲデマル	Togedemaru
ミミッキュ	Mimikkyu
ハギギシリ	Hagigishiri
ジジーロン	Jijilong
ダダリン	Dadarin
ジャラコ	Jyarako
ジャランゴ	Jyarango
ジャラランガ	Jyararanga
カプ・コケコ	Kapu-Kokeko
カプ・テテフ	Kapu-Tetefu
カプ・ブルル	Kapu-Bulul
カプ・レヒレ	Kapu-Rehire
コスモッグ	Cosmog
コスモウム	Cosmovum
ソルガレオ	Solgaleo
ルナアーラ	Lunala
ウツロイド	Uturoid
マッシブーン	Massivoon
フェローチェ	Pheroache
デンジュモク	Denjyumoku
テッカグヤ	Tekkaguya
カミツルギ	Kamiturugi
アクジキング	Akuziking
ネクロズマ	Necrozma
マギアナ	Magearna
マーシャドー	Marshadow
ベベノム	Bevenom
アーゴヨン	Agoyon
ツンデツンデ	Tundetunde
ズガドーン	Zugadoon
ゼラオラ	Zeraora
メルタン	Meltan
メルメタル	Melmetal
サルノリ	Sarunori
バチンキー	Bachinkey
ゴリランダー	Gorirander
ヒバニー	Hibanny
ラビフット	Rabbifuto
エースバーン	Aceburn
メッソン	Messon
ジメレオン	Jimereon
インテレオン	Intereon
ホシガリス	Hoshigarisu
ヨクバリス	Yokubarisu
ココガラ	Kokogara
アオガラス	Aogarasu
アーマーガア	Armorga
サッチムシ	Sacchimushi
レドームシ	Redomushi
イオルブ	Eolb
クスネ	Kusune
フォクスライ	Foxly
ヒメンカ	Himenka
ワタシラガ	Watashiraga
ウールー	Wooluu
バイウールー	Baiwooluu
カムカメ	Kamukame
カジリガメ	Kajirigame
ワンパチ	Wanpachi
パルスワン	Pulsewan
タンドン	Tandon
トロッゴン	Toroggon
セキタンザン	Sekitanzan
カジッチュ	Kajicchu
アップリュー	Appryu
タルップル	Tarupple
スナヘビ	Sunahebi
サダイジャ	Sadaija
ウッウ	Uu
サシカマス	Sasikamasu
カマスジョー	Kamasujaw
エレズン	Eleson
ストリンダー	Strinder
ヤクデ	Yakude
マルヤクデ	Maruyakude
タタッコ	Tatakko
オトスパス	Otosupus
ヤバチャ	Yabacha
ポットデス	Potdeath
ミブリム	Mibrim
テブリム	Tebrim
ブリムオン	Brimuon
ベロバー	Beroba
ギモー	Gimoh
オーロンゲ	Ohlonge
タチフサグマ	Tachifusaguma
ニャイキング	Nyaiking
サニゴーン	Sunigoon
ネギガナイト	Negigaknight
バリコオル	Barrikohru
デスバーン	Deathbarn
マホミル	Mahomil
マホイップ	Mawhip
タイレーツ	Tairetsu
バチンウニ	Bachinuni
ユキハミ	Yukihami
モスノウ	Mothnow
イシヘンジン	Ishihengin
コオリッポ	Korippo
イエッサン	Yessan
モルペコ	Morpeko
ゾウドウ	Zoudou
ダイオウドウ	Daioudou
パッチラゴン	Patchiragon
パッチルドン	Patchilldon
ウオノラゴン	Uonoragon
ウオチルドン	Uochilldon
ジュラルドン	Duraludon
ドラメシヤ	Dorameshiya
ドロンチ	Doronch
ドラパルト	Dorapult
ザシアン	Zacian
ザマゼンタ	Zamazenta
ムゲンダイナ	Mugendina
ダクマ	Dakuma
ウーラオス	Wulaosu
ザルード	Zarude
レジエレキ	Regieleki
レジドラゴ	Regidorago
ブリザポス	Blizzapos
レイスポス	Wraithpos
バドレックス	Budrex
アヤシシ	Ayashishi
バサギリ	Basagiri
ガチグマ	Gachiguma
イダイトウ	Idaitou
オオニューラ	Ohnyula
ハリーマン	Haryman
ラブトロス	Lovetolos
ニャオハ	Nyahoja
ニャローテ	Nyarote
マスカーニャ	Masquernya
ホゲータ	Hogator
アチゲータ	Achigator
ラウドボーン	Laudbon
クワッス	Kuwassu
ウェルカモ	Welkamo
ウェーニバル	Wanival
グルトン	Gourton
パフュートン	Perfuton
タマンチュラ	Tamantula
ワナイダー	Wanaider
マメバッタ	Mamebatta
エクスレッグ	Exleg
パモ	Pamo
パモット	Pamot
パーモット	Parmot
ワッカネズミ	Wakkanezumi
イッカネズミ	Ikkanezumi
パピモッチ	Pupimocchi
バウッツェル	Bowtzel
ミニーブ	Minive
オリーニョ	Olinyo
オリーヴァ	Oliva
イキリンコ	Ikirinko
コジオ	Kojio
ジオヅム	Jiodumu
キョジオーン	Kyojiohn
カルボウ	Carbou
グレンアルマ	Gurenarma
ソウブレイズ	Soublades
ズピカ	Zupika
ハラバリー	Harabarie
カイデン	Kaiden
タイカイデン	Taikaiden
オラチフ	Orachifu
マフィティフ	Mafitiff
シルシュルー	Shirushrew
タギングル	Taggingru
アノクサ	Anokusa
アノホラグサ	Anohoragusa
ノノクラゲ	Nonokurage
リククラゲ	Rikukurage
ガケガニ	Gakegani
カプサイジ	Capsaiji
スコヴィラン	Scovillain
シガロコ	Shigaroko
ベラカス	Beracas
ヒラヒナ	Hirahina
クエスパトラ	Cuespatra
カヌチャン	Kanuchan
ナカヌチャン	Nakanuchan
デカヌチャン(Dekanuchan)?	
ウミディグダ	Umidigda
ウミトリオ	Umitrio
オトシドリ	Otoshidori
ナミイルカ	Namiiruka
イルカマン	Irukaman
ブロロン	Buroron
ブロロローム	Burororoom
モトトカゲ	Mototokage
ミミズズ	Mimizuzu
キラーメ	Kirame
キラフロル	Kiraflor
ボチ	Bochi
ハカドッグ	Hakadog
カラミンゴ	Karamingo
アルクジラ	Arukujira
ハルクジラ	Halkujira
ミガルーサ	Migalusa
ヘイラッシャ	Heyrusher
シャリタツ	Syaritatsu
コノヨザル	Konoyozaru
ドオー	Dooh
リキキリン	Rikikirin
ノココッチ	Nokokochi
ドドゲザン	Dodogezan
イダイナキバ	Idainakiba
サケブシッポ	Sakebushippo
アラブルタケ	Araburutake
ハバタクカミ	Habatakukami
チヲハウハネ	Chiwohauhane
スナノケガワ	Sunanokegawa
テツノワダチ	Tetsunowadachi
テツノツツミ	Tetsunotsutsumi
テツノカイナ	Tetsunokaina
テツノコウベ	Tetsunokoube
テツノドクガ	Tetsunodokuga
テツノイバラ	Tetsunoibara
セビエ	Sebie
セゴール	Segohru
セグレイブ	Seglaive
コレクレー	Collecurei
サーフゴー	Surfugo
チオンジェン	Chionjen
パオジアン	Paojian
ディンルー	Dinlu
イーユイ	Yiyui
トドロクツキ	Todorokutsuki
テツノブジン	Tetsunobujin
コライドン	Koraidon
ミライドン	Miraidon
ウネルミナモ	Uneruminamo
テツノイサハ	Tetsunoisaha
カミッチュ	Kamicchu
チャデス	Chadeath
ヤバソチャ	Yabasocha
イイネイヌ	Iineinu
マシマシラ	Mashimashira
キチキギス	Kichikigisu
オーガポン	Ogerpon
ブリジュラス	Briduras
カミツオロチ	Kamitsuorochi
ウガツホムラ	Ugatsuhomura
タケルライコ	Takeruraiko
テツノイワオ	Tetsunoiwao
テツノカシラ	Tetsunokashira
テラパゴス	Terapagos
モモワロウ	Momowarou
