id,overview_eng,labels
394460,"Ash, Misty, and Professor Oak are invited to the mansion of Dr. Yung, a Pokémon scientist who has developed a machine to create Pokémon. However, he is kidnapped by a mysterious stranger who wishes to use the system to produce Pokémon with absolutely no weaknesses, and is enraged by the sudden presence of Mew.","[('Ash', 'CHARACTER'), ('Misty', 'CHARACTER'), ('Oak', 'PERSON'), ('Yung', 'PERSON'), ('Pokémon', 'ORG'), ('Mew', 'POKEMON')]"
315855,"On thier way through the Battle Frontier, Ash and friends meet up with a Pokémon Ranger who's mission is to deliever the egg of Manaphy to a temple on the ocean's floor. However, a greedy pirate wants the power of Manaphy to himself.","[('the Battle Frontier', 'ORG'), ('Ash', 'CHARACTER'), ('Pokémon Ranger', 'PERSON'), ('Manaphy', 'POKEMON')]"
394461,"A scientist named Tonio is reading a diary which belonged to a famous architect named Godey, his great-grandfather, indicating that two Pokémon between their dimension are fighting, and that the battle could lead to chaos. Those future events occur at same moment as Palkia, who can distort space, and Dialga, who rules over time, are brawling, which causes the hourglass in Tonio's lab to fall and shatter.","[('Godey', 'CHARACTER'), ('two', 'CARDINAL'), ('Pokémon', 'ORG'), ('Palkia', 'POKEMON'), ('Dialga', 'POKEMON'), ('Tonio', 'CHARACTER')]"
394462,"Chimchar is ready to join an exploration team, and with his newly human turned pokémon friend Piplup, he is ready for any challenge that may arise, inclduing Grovyle's plot to steal a Time Gear.","[('Chimchar', 'POKEMON'), ('Piplup', 'POKEMON'), ('Grovyle', 'POKEMON'), ('a Time Gear', 'LOC')]"
394463,"When a new Pokèmon emerges able to create parallel dimensions, it's up to Ash Ketchum and his friends to stop a mysterious stranger from using its powers for evil!
","[('Pokèmon', 'PRODUCT'), ('Ash', 'CHARACTER'), ('Ketchum', 'CHARACTER')]"
700331,"This is an animated cartoon that was released inside the game Pokémon Channel. 
A half-hour long anime show, broken into five short segments, featuring the Pichu Brothers. Meowth throws a party that the Pichu brothers and their friends are not invited to. After a series of events, they find out they were invited, but their invitations were simply delivered late. They go to Meowth's Party and hear him sing. The series has a total of five episodes, each on its own channel.",[]
1354331,"Ash and his friends, accompanied by their new companion Sheena, travel in time with Dialga’s help to right the mistakes of the town’s ancestors before the world crumbles under the power of Arceus’s rage. Will they be able to fix the mistakes of the past? What really happened in the past—did Sheena’s ancestors truly betray Arceus?.","[('Ash', 'CHARACTER'), ('Dialga', 'POKEMON'), ('Sheena', 'CHARACTER'), ('Arceus', 'POKEMON')]"
1396411,Togepi leads Pikachu and friends on a wild adventure.,"[('Togepi', 'POKEMON'), ('Pikachu', 'POKEMON')]"
2441481,"When Ash Ketchum and his friends stumble upon a Pokémon vacation resort, they decide to let their Pokémon have a day of fun and relaxation and let all their Pokémon out as the trainers go relax on their own.","[('Ash', 'CHARACTER'), ('Ketchum', 'CHARACTER'), ('a day', 'DATE'), ('Pokémon', 'ORG')]"
3567611,"Having become stronger as a team and joined forces with Grovile, Piplup and Chimchar head to the Hidden Land in order to stop the destruction of time. Grovile explains that Dialga, Master of Time, has been going crazy with its home of Temporal Tower collapsing, and is in the process of becoming the evil Primal Dialga of the future. The only way to stop the destruction of time is to defeat Dialga. When Lapras brings them to the Hidden Land, Team Pokepals head to the Old Ruins in order to ride the Rainbow Stoneship to Temporal Tower.","[('Piplup', 'POKEMON'), ('Chimchar', 'POKEMON'), ('the Hidden Land', 'ORG'), ('Grovile', 'PERSON'), ('Time', 'ORG'), ('Temporal Tower', 'FAC'), ('Primal Dialga', 'GPE'), ('Dialga', 'POKEMON'), ('Lapras', 'POKEMON'), ('the Hidden Land, Team Pokepals', 'ORG'), ('the Rainbow Stoneship to Temporal Tower', 'ORG')]"
3676721,"Ash Ketchum, Brock (Pokémon) and List of characters in the Pokémon anime series#Dawn are at a Pokémon Center watching a Pokémon Baccer match on TV. Ash and co. are intrigued by the match and decide to head to Crown City to watch the Pokémon Baccer World Cup.",[]
4225759,"Victini, a legendary Pokémon, unable to leave the boundaries of its hometown, is targeted by a determined villager to restore the homelands of his ancestors.","[('Victini', 'POKEMON'), ('Pokémon', 'ORG')]"
4231596,A short special based on life of the Pokémon Slowking.,[]
4231573,Pikachu meets the Pichu brothers and goes on an adventure through the city with them while trying to get back to the building where the rest of Ash's Pokémon are.,"[('Pikachu', 'POKEMON'), ('Pichu', 'POKEMON'), ('Ash', 'CHARACTER'), ('Pokémon', 'ORG')]"
4231599,"At a giant beachside mansion, Pikachu and some of its buddies decide to play a game of hide-and-seek. Pikachu is “it,” and it goes off in search of its friends. Meanwhile, Larvitar, sick of being all by itself, kicks a rock in anger. The rock hurtles through the air—and hits a lawnmower, turning it on and sending it tearing off after Pikachu and its friends! The group draws the lawnmower into a maze and even gets it into the water, but the lawnmower just keeps on chasing. The Pokémon build a road out of logs, hoping to get the lawnmower into a shack, but Psyduck trips and ruins the whole setup. How will the friends ever escape the lawnmower? This fantasy will have you on the edge of your seat!","[('Larvitar', 'POKEMON'), ('Pikachu', 'POKEMON'), ('Pokémon', 'ORG'), ('Psyduck', 'POKEMON')]"
4231575,Pikachu and some of the other pokemon camp out in the woods and help the Pichu brothers get on the train.,"[('Pikachu', 'POKEMON'), ('Pichu', 'POKEMON')]"
4231595,Pikachu and the other Pokémon learn to dance!,"[('Pikachu', 'POKEMON'), ('Pokémon', 'ORG')]"
4231600,"Pikachu and the other Pokémon were at the beach, when a weakened Wynaut approaches them. It tells them that its friends were attacked by Meowth and the other Team Rocket Pokémon, as well as an Exploud and a Hariyama, because Meowth wanted to take over their playground, which resides on a nearby island. After hearing Wynaut's story, Pikachu and the others decide to help them take back their playground, and begin to train them, so that they can rescue their island from the clutches of Meowth.","[('Pokémon', 'ORG'), ('Exploud', 'POKEMON'), ('Hariyama', 'POKEMON'), ('Wynaut', 'POKEMON'), ('Pikachu', 'POKEMON'), ('Meowth', 'POKEMON')]"
4231601,"The Kingdom of the People of the Earth once ruled over the land, but now all that remains is the Sword of the Earth. in the city of Eindoak. Satoshi, Iris, and Dent arrive in Eindoak during a harvest festival's Pokémon Tournament and meet the legendary Pokémon Victini who wishes to share its powers of victory to someone. Elsewhere in the city, a descendant of the People of the Earth named Dred Grangil has arrived who seeks to revive the kingdom's power with the Sword of the Earth, bringing them back into power over the land, and Satoshi and his friends must stop him before he destroys the land along with Victini.","[('The Kingdom of the People of the Earth', 'GPE'), ('Iris', 'CHARACTER'), ('Dent', 'CHARACTER'), ('Eindoak', 'PERSON'), ('Pokémon Tournament', 'ORG'), ('Pokémon Victini', 'PERSON'), ('Dred Grangil', 'PERSON'), ('Earth', 'LOC'), ('Satoshi', 'CHARACTER'), ('Victini', 'POKEMON')]"
4231602,"An over zealous pokemon called Keldeo enrages a very powerful Kyurem, with the help of Ash and Pikachu can Keldeo become a sword of justice and defeat the mighty Kyurem?","[('Keldeo', 'ORG'), ('Ash', 'CHARACTER'), ('Pikachu', 'POKEMON'), ('Kyurem', 'POKEMON')]"
4231771,"While playing in the ocean near a tropical resort, Pikachu & Co. get in a scuffle with Team Rocket's Pokémon. This scuffle causes the Pokémon to wind up miles away in an Ice-covered Paradise. However, when they get there, they are seperated soon find that certain Pokémon in the area require their assistance. Will they be able to reunite with their friends and help these Pokémon out?",[]
4231772,"Under the sunny sky, Buneary, Buizel, Pachirisu, Piplup, Turtwig, Aipom, and Pikachu are running across a grassy field. Pachirisu rides on a beach ball down the hill, and then Piplup rides on the beach ball afterwards. Aipom knocks Piplup off of the ball and Piplup chases after Aipom.","[('Buneary', 'POKEMON'), ('Buizel', 'POKEMON'), ('Turtwig', 'POKEMON'), ('Pikachu', 'POKEMON'), ('Pachirisu', 'POKEMON'), ('Piplup', 'POKEMON'), ('Aipom', 'POKEMON')]"
4231608,Pikachu and his friends are having a picnic when it starts to rain and they are forced to take shelter in a haunted house full of spooky Pokémon.,"[('Pikachu', 'POKEMON'), ('Pokémon', 'ORG')]"
4231609,"As the sun shines down, Wigglytuff was setting up Pokémon balloons, Lombre was setting up Pokémon masks, Mudkip was setting up drinks, Snorunt was making ice cream, and Swablu was making Pokémon prize bags for stands at the festival. Pikachu, Plusle, and Minun run on the beach and stop to see the Pokémon festival which also has a large stage in the middle. They are happy to be at a festival.","[('Wigglytuff', 'POKEMON'), ('Lombre', 'POKEMON'), ('Mudkip', 'POKEMON'), ('Snorunt', 'POKEMON'), ('Swablu', 'POKEMON'), ('Pikachu', 'POKEMON'), ('Plusle', 'POKEMON'), ('Minun', 'POKEMON'), ('Pokémon', 'ORG')]"
4231610,"Summer! Everyone is full of energy today. Pikachu and friends play with their beach ball! Pikachu and Pochama are chasing and diving in a river when they drift over and see a metropolis. ""Where are we?"" they said, searching from the rooftops of the buildings. Suddenly, with a bang, jagged-eared Pichu and Muchul collide. The two argue in an angry mood. ""Sparkling is gone! It was the present to give to Kireihana..."" Besides, today is her birthday!? This is troublesome! We must hurry and search. Moreover, Nyarth-tachi are aiming too! Thus, the Great Sparkling Search begins!","[('Summer', 'DATE'), ('Pikachu', 'POKEMON'), ('Pochama', 'LOC'), ('Pichu', 'POKEMON'), ('Muchul', 'PERSON'), ('two', 'CARDINAL'), ('Kireihana', 'ORG'), ('today', 'DATE'), ('Nyarth', 'PERSON'), ('the Great Sparkling Search', 'FAC')]"
4231613,"Pikachu's Winter Vacations are three series of videos, each composed of several Pikachu shorts. All shorts deal with winter and Christmas. This is the first series and contains Christmas Night & Kanga Games.","[('Winter Vacations', 'EVENT'), ('three', 'CARDINAL'), ('Pikachu', 'POKEMON'), ('winter and', 'DATE'), ('first', 'ORDINAL'), ('Christmas', 'DATE'), ('Night & Kanga Games', 'EVENT')]"
4231614,"Pikachu's Winter Vacations are three series of videos, each composed of several Pikachu shorts. All shorts deal with winter and Christmas. This is the second series and contains Winter Games & Stantler's Little Helpers.","[('Winter Vacations', 'EVENT'), ('three', 'CARDINAL'), ('Pikachu', 'POKEMON'), ('winter and', 'DATE'), ('Christmas', 'DATE'), ('second', 'ORDINAL'), ('Winter Games', 'EVENT'), ('Stantler', 'POKEMON'), ('Little Helpers', 'PERSON')]"
4231615,"Pikachu's Winter Vacations are three series of videos, each composed of several Pikachu shorts. All shorts deal with winter and Christmas. This is the third and last series and contains Delibird's Dilemma, Snorlax Snowman & Trouble in Big Town.","[('Winter Vacations', 'EVENT'), ('three', 'CARDINAL'), ('Pikachu', 'POKEMON'), ('winter and', 'DATE'), ('Christmas', 'DATE'), ('third', 'ORDINAL'), ('Delibird', 'POKEMON'), ('Snorlax', 'POKEMON'), ('Snowman & Trouble', 'ORG')]"
4231775,"The seventh short premiered on ANA flights on August 1, 2010.","[('seventh', 'ORDINAL'), ('ANA', 'ORG'), ('August 1, 2010', 'DATE')]"
4231779,"A set of five-minute-long special episodes based on the DS game Pokémon Ranger: Guardian Signs which aired as part of Pokémon Sunday, it divided into two parts (Part 1 was aired on February 28, 2010, and Part 2 was aired on March 7, 2010). It shows in Oblivia Region, a Pokémon Ranger named Natsuya, receives a mission of head for the archipelago to stop a villainous team - Pokémon Pinchers' misdeeds from poaching and selling Pokémon which tasked by Professor Hastings. During his mission, he meets Ukulele Pichu and captures it.",[]
4231787,"An animated adaptation of the ""Birth of Mewtwo"" radio drama, which was later attached to the beginning of the first movie for the Japanese video release. A small 3 minute heavily edited version was released on the US version DVDs, while the full uncut version was made available on the Mewtwo Returns DVD.","[('the ""Birth of Mewtwo', 'ORG'), ('the beginning of the', 'DATE'), ('first', 'ORDINAL'), ('Japanese', 'NORP'), ('3 minute', 'TIME'), ('US', 'GPE'), ('Mewtwo', 'POKEMON')]"
4231791,"A made for television special that showcased the legendary Raikou, as well as brand new trainers. It became the first three episodes of Pokémon Chronicles. This was based on the release of Pokémon Crystal and is called as such in the Japanese title.","[('Raikou', 'POKEMON'), ('first', 'ORDINAL'), ('three', 'CARDINAL'), ('Pokémon Chronicles', 'PERSON'), ('Pokémon Crystal', 'ORG'), ('Japanese', 'NORP')]"
4231916,"Ash's Pikachu and friends visit a town with a huge draw bridge, but problems arise when they come across Ash's Oshawott and Tepig, who have eaten the fruits that wild Gothita and Darumaka had collected. They head off to collect fruits from the forest across the bridge, but then Meowth appears and tries to steal the fruits. On top of that, the bridge is raised, blocking their passage. What will Pikachu do? The fight for the fruits begins!!","[('Ash', 'CHARACTER'), ('Oshawott', 'POKEMON'), ('Tepig', 'POKEMON'), ('Gothita', 'POKEMON'), ('Darumaka', 'POKEMON'), ('Meowth', 'POKEMON'), ('Pikachu', 'POKEMON')]"
4231917,"Pikachu and Meowth are on a search: a search for the elusive Pokémon, Mew. They search everywhere! The sea, the sky, the woods...will they ever find Mew?","[('Pikachu', 'POKEMON'), ('Meowth', 'POKEMON'), ('Pokémon', 'PERSON'), ('Mew', 'POKEMON')]"
4231918,"When Pikachu and friends decide to stop by a tropical island for some rest and relaxation, they got more than they had bargained for after Chatot discovers a Treasure Map! They follow the map to Wailord’s Tear, a mysterious place located in a sunken pirate ship. Will Pikachu and friends find the treasure? What mysteries and dangers are in store? Will our pals return safely? Find out in Pikachu’s Ocean Adventure!","[('Chatot', 'POKEMON'), ('Wailord', 'POKEMON'), ('Will Pikachu', 'PERSON'), ('Pikachu', 'POKEMON')]"
4612829,"The original story is set before Mewtwo meets Ash and his friends in the upcoming film's storyline.
It will focus on Mewtwo's history, goals, and how it became the strongest Pokémon.","[('Ash', 'CHARACTER'), ('Mewtwo', 'POKEMON'), ('Pokémon', 'ORG')]"
4783269,Cilan and Brock! Gyarados' Outrage!! is the first spin off of the Best Wishes series of the Pokémon anime.,[]
4862185,"The 16th Pokemon movie and the 3rd ""Best Wishes!"" movie.","[('16th', 'ORDINAL'), ('Pokemon', 'ORG'), ('3rd', 'ORDINAL'), ('Best Wishes', 'WORK_OF_ART')]"
4881048,"Prequel special to the Pokemon XY series.
Read more at http://myanimelist.net/anime/21695/Pokemon_XY_SP:_Road_to_Kalos#gBjScXRbiJ0CLuIK.99","[('Pokemon XY', 'ORG')]"
4941554,"After concluding her journey with Ash and Brock, Dawn returns home and has to decide which of her Pokémon to take with her on her journey to become a Top Coordinator.","[('Ash', 'CHARACTER'), ('Brock', 'CHARACTER'), ('Dawn', 'CHARACTER'), ('Pokémon', 'ORG'), ('a Top Coordinator', 'PERSON')]"
4971574,"The Heart Diamond, the sole energy source of the underground kingdom called the Diamond Domain, is failing and needs replacing. The only one who can create a new Heart Diamond and save the kingdom is the Pokémon Diancie, the kingdom's Princess, but she does not yet have the power to make one. Diancie goes on a journey to meet the life-giving Legendary Pokémon Xerneas, who will allow Diancie to discover the power to create a Heart Diamond. After months of searching for Xerneas, Diancie goes to explore a city she spotted. She meets the Pokémon trainer Ash Ketchum and his friends, Pikachu, Serena, Clemont, and Bonnie. Ash and his friends join Diancie on her quest to meet Xerneas.","[('the Diamond Domain', 'GPE'), ('the Pokémon Diancie', 'ORG'), ('Legendary Pokémon Xerneas', 'PERSON'), ('months', 'DATE'), ('Pokémon', 'ORG'), ('Ketchum', 'CHARACTER'), ('Pikachu', 'POKEMON'), ('Serena', 'GPE'), ('Clemont', 'GPE'), ('Bonnie', 'PERSON'), ('Ash', 'CHARACTER'), ('Diancie', 'POKEMON'), ('Xerneas', 'POKEMON')]"
5328325,"Hoopa, The Mischief Pokémon is an anime prequel to Hoopa and the Clash of Ages.","[('The Mischief Pokémon', 'ORG'), ('Hoopa and the Clash of Ages', 'WORK_OF_ART')]"
5501159,"When Ash, Pikachu, and their friends visit a desert city by the sea, they meet the Mythical Pokémon Hoopa, who has the ability to summon things—including people and Pokémon—through its magic rings. After a scary incident, they learn a story about a brave hero who stopped the rampage of a terrifying Pokémon long ago. Now, the threat that has been bottled up for years is in danger of breaking loose again! Can Ash help his new friend overcome the darkness within...or will a dangerous secret erupt into a clash of legends?",[]
5844974,"Professor Sycamore and Alexa explore some ruins, where they discover a stone statue of a woman named Aila, and a legend emerges. A collection of Kalos records reveals that Aila’s true love, Jan, attempted to vanquish the Destruction Pokémon Yveltal. When he failed, the land was drained of all life as Yveltal became a cocoon and turned Aila to stone.
Jan continued his quest, seeking out the Life Pokémon Xerneas to replenish the barren land—although it couldn’t save Aila. When Kalos seemed hopelessly out of balance, the Order Pokémon Zygarde appeared to restore it, and Jan remained at Aila’s side as the cycle of life and destruction continued.",[]
5844975,"In a fishing tournament in Lumiose City, Clemont and Bonnie meet the Pokémon Connoisseur Cilan. Cilan tells them he'd like to go to the Prism Tower, so Clemont and Bonnie decide to guide him. But when Cilan requests that they travel via the subway, an accident occurs. A driverless subway train starts moving while Bonnie is on board. What will Clemont and Cilan do?","[('Pokémon Connoisseur Cilan', 'ORG'), ('the Prism Tower', 'FAC'), ('Bonnie', 'PERSON'), ('Clemont', 'GPE'), ('Cilan', 'GPE')]"
5844976,"Ash and his friends encounter the Mythical Pokémon Volcanion after a blast of steam from the sky, and Ash becomes bonded to it by an unknown force. Volcanion, who hates humans, is forced to bring Ash along as it heads to the Azoth Kingdom. Volcanion is in pursuit of the artificial Mythical Pokémon Magearna, hoping to rescue it from a corrupt minister who has stolen it with the intent of using Magearna's mysterious power to conquer the kingdom of machinery. Ash and Volcanion are forced to work together to rescue Magearna.","[('the Mythical Pokémon Volcanion', 'ORG'), ('the Azoth Kingdom', 'GPE'), ('Mythical Pokémon Magearna', 'ORG'), ('Ash', 'CHARACTER'), ('Volcanion', 'POKEMON'), ('Magearna', 'POKEMON')]"
6428178,Ash Ketchum from Pallet Town is 10 years old today. This means he is now old enough to become a Pokémon Trainer. Ash dreams big about the adventures he will experience after receiving his first Pokémon from Professor Oak.,"[('Ketchum', 'CHARACTER'), ('10 years old', 'DATE'), ('today', 'DATE'), ('Pokémon Trainer', 'PERSON'), ('Ash', 'CHARACTER'), ('Pokémon', 'ORG'), ('Oak', 'PERSON')]"
6518904,"Pikachu and its Pokémon friends gather for a very special event: the Mythical Pokémon Meloetta is giving a once-a-year performance at Lunatone Rock! As the full moon rises, the Melody Tree sprouts up from the stage, growing the Melody Berries that enhance Meloetta’s song. But when a battle breaks out in the audience, the Melody Berries are scattered far and wide! Can Pikachu and the others track down these special Berries so Meloetta’s show can go on—and can they find them before Meowth does?",[]
6518905,"There’s a party at Sylveon’s house, and you’re invited! Join Pikachu, Oshawott, Axew, and Pansage as they have fun with Eevee and all of its evolved forms!",[]
6518907,"Pikachu and friends meet Klefki, a Pokémon who holds the keys to the mystical worlds of Mythical Pokémon!","[('Pikachu', 'POKEMON'), ('Klefki', 'POKEMON'), ('Pokémon', 'ORG'), ('Mythical Pokémon', 'ORG')]"
6518908,"Pikachu and all its Pokémon friends are working on a musical performance, but their rehearsal keeps getting interrupted! Will they be ready to sing for the Berry Jubilee?","[('Pikachu', 'POKEMON'), ('Pokémon', 'ORG'), ('the Berry Jubilee', 'PERSON')]"
6978851,Ash and Pikachu embark on a new journey to Fula City where the yearly Wind Festival takes place. There they meet new trainers and friends in order to later help save the city along with the mythical pokemon Zeraora.,"[('Ash', 'CHARACTER'), ('Pikachu', 'POKEMON'), ('Fula City', 'GPE'), ('Wind Festival', 'EVENT'), ('Zeraora', 'CHARACTER')]"
6978854,CGI animated remake of Pokémon: The First Movie - Mewtwo Strikes Back.,[]
2323051,"A clip show summarizing the important events of the first 47 Diamond and Pearl episodes, including Ash's victories over Roark and Gardenia and the introductions of new rivals Paul and Zoey.","[('first', 'ORDINAL'), ('47', 'CARDINAL'), ('Diamond', 'PERSON'), ('Pearl', 'GPE'), ('Ash', 'CHARACTER'), ('Roark', 'GPE'), ('Gardenia', 'GPE'), ('Paul', 'PERSON'), ('Zoey', 'PERSON')]"
2323031,This episode was set to air on the regular schedule but was pulled out of the line-up because many people were killed in earthquakes a few weeks before the episode's due air date.,"[('a few weeks', 'DATE')]"
362629,"In the first Pokémon clip show, the group are still on the boat looking towards the Grand Festival. Ash remembers all of his Hoenn Gym Battles and then May remembers all of her contest battles.","[('first', 'ORDINAL'), ('Pokémon', 'ORG'), ('the Grand Festival', 'EVENT'), ('Ash', 'CHARACTER'), ('Hoenn Gym Battles', 'PERSON')]"
9354618,"This is a story of a slighly unusual parent-child relationship involving one Pokémon and one human.
In the depths of a jungle in the middle of nowhere, we find Okoya Forest, a Pokémon paradise operating with strict laws.
The stubborn and obstinate Zarude lived there with his kin, but one day he discovered a human baby by the riverside.","[('one', 'CARDINAL'), ('Okoya Forest', 'ORG'), ('Pokémon', 'ORG'), ('Zarude', 'POKEMON'), ('one day', 'DATE')]"
9509790,"Ash travels a mountain pass to a nearby town to meet up with his dad. Along the way, he runs into a mysterious young boy with a keen interest in Pokémon.","[('Ash', 'CHARACTER'), ('Pokémon', 'ORG')]"
208318,"Meet Ash Ketchum, a 10-year-old boy full of imagination, confidence, and dreams that are almost too big for his village of Pallet Town—plus the desire to become a Pokémon Master!","[('Ash', 'CHARACTER'), ('Ketchum', 'CHARACTER'), ('10-year-old', 'DATE'), ('Pokémon Master', 'ORG')]"
208319,"Ash rushes into Viridian City with his gravely wounded Pikachu. The city's on high alert for Pokémon thieves-thieves like Jessie, James, and Meowth of Team Rocket, a group of bad guys dedicated to stealing valuable Pokémon.",[]
208320,"Ash discovers and catches a Caterpie—his first Pokémon capture! Though Ash is excited, Misty is grossed out by Bug-type Pokémon, so she is repulsed by its attempts to be friends with her. At night, as Ash and Misty sleep, Caterpie shares with Pikachu its dream of evolving into a Butterfree.","[('first', 'ORDINAL'), ('Pokémon', 'ORG'), ('Ash', 'CHARACTER'), ('Misty', 'CHARACTER'), ('Caterpie', 'POKEMON'), ('Pikachu', 'POKEMON'), ('Butterfree', 'POKEMON')]"
208321,"Misty and Ash continue to wander the Viridian Forest when they spot a Weedle. As Ash battles it, he's distracted by a boy dressed as a samurai and calling himself (naturally) Samurai. Samurai challenges Ash to a battle, and Ash gets the advantage when his Metapod defends itself against Samurai's Pinsir. Samurai sends out his own Metapod—and a standoff begins.","[('Misty', 'CHARACTER'), ('the Viridian Forest', 'ORG'), ('Weedle', 'POKEMON'), ('Ash', 'CHARACTER'), ('Samurai', 'PERSON'), ('Pinsir', 'POKEMON'), ('Metapod', 'POKEMON')]"
